namespace,tdwgutility_organizedInClass,term_localName,datatype
schema:,Address,addressCountry,string
schema:,Address,addressLocality,string
schema:,Address,addressRegion,string
ltc:,Address,addressType,string
ltc:,Address,hasIdentifier,array<ltc:Identifier>
schema:,Address,postalCode,string
schema:,Address,postOfficeBoxNumber,string
schema:,Address,streetAddress,string
dwc:,ChronometricAge,chronometricAgeProtocol,string
dwc:,ChronometricAge,chronometricAgeRemarks,string
dwc:,ChronometricAge,chronometricAgeUncertaintyInYears,number
dwc:,ChronometricAge,earliestChronometricAge,number
dwc:,ChronometricAge,earliestChronometricAgeReferenceSystem,string
ltc:,ChronometricAge,hasIdentifier,array<ltc:Identifier>
ltc:,ChronometricAge,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,ChronometricAge,hasReference,array<ltc:Reference>
dwc:,ChronometricAge,latestChronometricAge,number
dwc:,ChronometricAge,latestChronometricAgeReferenceSystem,string
dwc:,ChronometricAge,verbatimChronometricAge,string
ltc:,CollectionStatusHistory,hasIdentifier,array<ltc:Identifier>
ltc:,CollectionStatusHistory,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,CollectionStatusHistory,hasReference,array<ltc:Reference>
ltc:,CollectionStatusHistory,hasTemporalCoverage,array<ltc:TemporalCoverage>
ltc:,CollectionStatusHistory,status,string
ltc:,CollectionStatusHistory,statusChangeReason,string
ltc:,CollectionStatusHistory,statusType,string
ltc:,ContactDetail,contactDetailCategory,string
ltc:,ContactDetail,contactDetailFunction,list
ltc:,ContactDetail,contactDetailValue,string
ltc:,ContactDetail,hasIdentifier,array<ltc:Identifier>
ltc:,EcologicalContext,biogeographicRealm,string
ltc:,EcologicalContext,biome,string
ltc:,EcologicalContext,biomeType,string
ltc:,EcologicalContext,bioregion,string
ltc:,EcologicalContext,ecoregion,string
ltc:,EcologicalContext,ecosystem,string
dwc:,EcologicalContext,habitat,string
ltc:,EcologicalContext,hasIdentifier,array<ltc:Identifier>
ltc:,EcologicalContext,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,EcologicalContext,hasReference,array<ltc:Reference>
ltc:,Event,eventName,string
ltc:,Event,hasEcologicalContext,array<ltc:EcologicalContext>
ltc:,Event,hasGeographicContext,array<ltc:GeographicContext>
ltc:,Event,hasIdentifier,array<ltc:Identifier>
ltc:,Event,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,Event,hasParentEvent,array<ltc:Event>
ltc:,Event,hasPersonRole,array<ltc:PersonRole>
ltc:,Event,hasReference,array<ltc:Reference>
ltc:,Event,hasTemporalCoverage,array<ltc:TemporalCoverage>
dwc:,Event,samplingProtocol,list
dwc:,Event,verbatimEventDate,string
dwc:,GeographicContext,continent,string
dwc:,GeographicContext,country,string
dwc:,GeographicContext,countryCode,string
dwc:,GeographicContext,county,string
ltc:,GeographicContext,hasIdentifier,array<ltc:Identifier>
ltc:,GeographicContext,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,GeographicContext,hasReference,array<ltc:Reference>
dwc:,GeographicContext,island,string
dwc:,GeographicContext,islandGroup,string
dwc:,GeographicContext,locality,string
dwc:,GeographicContext,municipality,string
ltc:,GeographicContext,region,string
dwc:,GeographicContext,stateProvince,string
dwc:,GeographicContext,waterBody,string
ltc:,GeographicContext,waterBodyType,string
dwc:,GeologicalContext,bed,string
dwc:,GeologicalContext,earliestAgeOrLowestStage,string
dwc:,GeologicalContext,earliestEonOrLowestEonothem,string
dwc:,GeologicalContext,earliestEpochOrLowestSeries,string
dwc:,GeologicalContext,earliestEraOrLowestErathem,string
dwc:,GeologicalContext,earliestPeriodOrLowestSystem,string
dwc:,GeologicalContext,formation,string
dwc:,GeologicalContext,group,string
ltc:,GeologicalContext,hasIdentifier,array<ltc:Identifier>
ltc:,GeologicalContext,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,GeologicalContext,hasReference,array<ltc:Reference>
dwc:,GeologicalContext,latestAgeOrHighestStage,string
dwc:,GeologicalContext,latestEonOrHighestEonothem,string
dwc:,GeologicalContext,latestEpochOrHighestSeries,string
dwc:,GeologicalContext,latestEraOrHighestErathem,string
dwc:,GeologicalContext,latestPeriodOrHighestSystem,string
