pref_ns_prefix,document_modified,term_localName,term_isDefinedBy,term_created,term_modified,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass
ltc,2023-07-14T12:47:55-5:00,hasIdentifier,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/ChronometricAge
ltc,2023-07-14T12:47:55-5:00,hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Measurement Or Fact,This property refers to one or more related instances of the MeasurementOrFact class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/ChronometricAge
ltc,2023-07-14T12:47:55-5:00,hasReference,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/ChronometricAge
chrono,2023-07-14T12:47:55-5:00,latestChronometricAge,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Latest Chronometric Age,The minimum/latest/youngest possible age of a specimen as determined by a dating method.,The minimum/latest/youngest possible age of an object in the collection as determined by a dating method.,"""The expected unit for this field is years. This field, if populated, must have an associated latestChronometricAgeReferenceSystem.""",`27`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/ChronometricAge
chrono,2023-07-14T12:47:55-5:00,latestChronometricAgeReferenceSystem,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Latest Chronometric Age Reference System,The reference system associated with the latestChronometricAge.,,Recommended best practice is to use a controlled vocabulary.,"`kya`, `mya`, `BP`, `AD`, `BCE`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/ChronometricAge
chrono,2023-07-14T12:47:55-5:00,verbatimChronometricAge,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Verbatim Chronometric Age,"The verbatim age for a specimen, whether reported by a dating assay, associated references, or legacy information.","""The verbatim age for the objects in the collection, whether reported by a dating assay, associated references, or legacy information.""","""For example, this could be the radiocarbon age as given in an AMS dating report. This could also be simply what is reported as the age of a specimen in legacy collections data.""",`27 BC to 14 AD`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/ChronometricAge
ltc,2023-07-14T12:47:55-5:00,CollectionStatusHistory,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Collection Status History,A record of current and past statuses of the object group and the reason for status changes.,,"""Use this class to record the history of and reason for changes in the status of the described collection. Types of status described by this class may, for example, include ownership, management, accessibility or accrual policy over time. Dates reflecting the start and end of the status described by this class should be recorded using an instance of TemporalCoverage. If temporalCoverageEndDateTime is empty, the status should be inferred to be the current status of the collection.""",,http://www.w3.org/2000/01/rdf-schema#Class,
ltc,2023-07-14T12:47:55-5:00,hasIdentifier,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/CollectionStatusHistory
ltc,2023-07-14T12:47:55-5:00,hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Measurement Or Fact,This property refers to one or more related instances of the MeasurementOrFact class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/CollectionStatusHistory
ltc,2023-07-14T12:47:55-5:00,hasReference,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/CollectionStatusHistory
ltc,2023-07-14T12:47:55-5:00,hasTemporalCoverage,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Temporal Coverage,This property refers to one or more related instances of the TemporalCoverage class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/CollectionStatusHistory
ltc,2023-07-14T12:47:55-5:00,status,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Status,The development status of the collection during a specified period.,,The values/vocabularies for a status are predicated by the statusType. The in the examples mentioned terms are a cumulative list of terms associated with several different statusTypes.,"`Complete`, `In part`, `Developing`, `Closed`, `Active growth`, `Consumable`, `Decreasing`, `Lost`, `Missing`, `Passive growth`, `Static`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/CollectionStatusHistory
ltc,2023-07-14T12:47:55-5:00,statusChangeReason,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Status Change Reason,An explanation of why the collection transitioned to the value set in the status property.,,statusChangeReason should be aligned with the value of statusType.,"`Pest infestation`, `Exchange`, `Transfer`, `Return to country of origin`, `Worldwide pandemic`, `moved to secure off-site storage`, `reorganisation, no access from 2020-2023`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/CollectionStatusHistory
ltc,2023-07-14T12:47:55-5:00,statusType,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Status Type,A top-level classification of the different categories of status that can be applied to the collection.,,statusType forms the top level of a two-level hierarchy with the status property. Recommended best practice is to use a controlled vocabulary.,"`Stewardship`, `Accessibility`, `Completeness`, `Growth Status`, `Organisational`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/CollectionStatusHistory
ltc,2023-07-14T12:47:55-5:00,ContactDetail,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Contact Detail,Details of a method by which an entity such as a Person or OrganisationalUnit may be contacted.,,"""The Address class should be used to store physical or postal addresses. For all other types of contact details, this class should be used.""",,http://www.w3.org/2000/01/rdf-schema#Class,
ltc,2023-07-14T12:47:55-5:00,contactDetailCategory,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Contact Detail Category,The method of contact to which the contact detail applies.,,Recommended practice is to use a controlled vocabulary.,"`Email`, `Phone (mobile)`, `Phone (home)`, `Twitter handle`, `GitHub handle`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/ContactDetail
ltc,2023-07-14T12:47:55-5:00,contactDetailFunction,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Contact Detail Function,A brief label describing the nature of the enquiry or enquiries that are appropriate to direct to the contact detail.,,,"`Loan requests`, `General enquiries`, `Data issues`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/ContactDetail
ltc,2023-07-14T12:47:55-5:00,contactDetailValue,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Contact Detail Value,"The value of the contact detail, such as the phone number or email address.",,,"`01234 567891`, `someone@example.org`, `@github_user`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/ContactDetail
ltc,2023-07-14T12:47:55-5:00,hasIdentifier,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/ContactDetail
ltc,2023-07-14T12:47:55-5:00,EcologicalContext,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Ecological Context,"The ecological and/or biogeographic classification of the region from which objects associated with the ObjectGroup were collected, or where an Event took place.",,"""There is some conceptual overlap with the GeographicContext class with respect to geographic locations. This class should be used for biogeographic and ecological concepts, whereas for physical, political and administrative geographic locations, the GeographicContext class is more appropriate. Specific information about the habitat and ecological conditions that applied at the time that an event took place should be recorded in the `habitat` property of the Event class.""",,http://www.w3.org/2000/01/rdf-schema#Class,
ltc,2023-07-14T12:47:55-5:00,biogeographicRealm,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Biogeographic Realm,"The broadest biogeographic division of Earth's land and marine surface, based on distributional patterns of terrestrial and marine organisms.",,"""This term may commonly be used in a biogeographic hierarchy above marineProvince (marine only), ecoregion and ecosystem. It is recommended to use controlled vocabularies such as those adopted by the World Wildlife Fund (WWF) / Global 200 (Olson et at. 1998). ""","`Afrotropical`, `Australasian`, `Indomalayan`, `Nearctic`, `Arctic`, `Temperate Northern Atlantic`, `Temperate Northern Pacific`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/EcologicalContext
ltc,2023-07-14T12:47:55-5:00,biome,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Biome,A biogeographical unit consisting of a biological community that has formed in response to the physical environment in which they are found and a shared regional climate.,,"""This property can be used to record terrestrial, freshwater and marine biomes. It is recommended to use controlled vocabularies such as those adopted by the World Wildlife Fund (WWF) / Global 200 (Olson et at. 1998). ""","`Deserts and xeric shrublands`, `Tropical and subtropical moist broadleaf forests`, `Open sea`, `Deep sea`, `Littoral/Intertidal zone`, `Salt marsh`, `Estuaries`, `Large lakes`, `Large river deltas`, `Polar freshwaters`, `Tropical and subtropical coastal rivers`, `Tropical and subtropical floodplain rivers and wetlands`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/EcologicalContext
ltc,2023-07-14T12:47:55-5:00,biomeType,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Biome Type,A top level classification of the type of biome from which objects were collected or where an event took place.,,"""The biomeType is positioned at a level between the biosphere (the global sum of all ecosystems on Earth) and the more detailed terrestrial, marine and freshwater biomes. The latter should be recorded using the EcologicalContext.biome property.""","`Terrestrial`, `Marine`, `Freshwater`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/EcologicalContext
ltc,2023-07-14T12:47:55-5:00,bioregion,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Bioregion,"An ecologically and geographically defined area that is smaller than a biogeographic realm, but larger than an ecoregion or an ecosystem.",,"""This is analagous with the marine province concept for marine regions. It is recommended to use controlled vocabularies such as those adopted by the World Wildlife Fund (WWF) / Global 200 (Olson et at. 1998), from which this concept originated. ""","`Western Africa and Sahel`, `New Guinea and Melanesia`, `Indian subcontinent`, `South China Sea`, `Mediterranean Sea`, `Central Indian Ocean Islands`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/EcologicalContext
ltc,2023-07-14T12:47:55-5:00,ecoregion,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Ecoregion,"An ecologically and geographically defined area that is smaller than a bioregion, which in turn is smaller than a biogeographic realm. Ecoregions cover relatively large areas of land or water, and contain characteristic, geographically distinct assemblages of natural communities and species.",,It is recommended to use controlled vocabularies such as those adopted by the World Wildlife Fund (WWF) / Global 200 (Olson et at. 1998).,"`Albertine Rift montane forests`, `Atlantic Equatorial coastal forests`, `Irrawaddy freshwater swamp forests`, `Adriatic Sea`, `Cortezian`, `Ningaloo`, `Ross Sea`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/EcologicalContext
ltc,2023-07-14T12:47:55-5:00,ecosystem,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Ecosystem,"A specific kind of ecological classification that considers all four elements of the definition of ecosystems: a biotic component, an abiotic complex, the interactions between and within them, and the physical space that they occupy.",,,"`Orjen, vegetation belt between 1,100 and 1,450 m, Oromediterranean zone, nemoral zone (temperate zone)`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/EcologicalContext
ltc,2023-07-14T12:47:55-5:00,habitat,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Habitat,A description of the type of environment in which an organism lives.,,,"`oak savanna`, `pre-cordilleran steppe`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/EcologicalContext
ltc,2023-07-14T12:47:55-5:00,hasIdentifier,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/EcologicalContext
ltc,2023-07-14T12:47:55-5:00,hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Measurement Or Fact,This property refers to one or more related instances of the MeasurementOrFact class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/EcologicalContext
ltc,2023-07-14T12:47:55-5:00,hasReference,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/EcologicalContext
ltc,2023-07-14T12:47:55-5:00,Event,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Event,An action that occurs at some location during some time.,,Derived from dwc Class event (http://rs.tdwg.org/dwc/terms/version/Event-2018-09-06). This class has been defined under the ltc namespace because it only has a subset of the properties of DwC:Event. All ltc:Event properties are borrowed from and reference the dwc namespace. Examples of an Event include: A specimen collection process. A camera trap image capture. A marine trawl.,,http://www.w3.org/2000/01/rdf-schema#Class,
ltc,2023-07-14T12:47:55-5:00,eventName,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Event Name,The name commonly used to identify or refer to the event.,,,"`Trawl 3.42`, ` Voyage of the Rattlesnake 1846-1850`, `Donner-Reed Party`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Event
ltc,2023-07-14T12:47:55-5:00,hasEcologicalContext,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Ecological Context,This property refers to one or more related instances of the EcologicalContext class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Event
ltc,2023-07-14T12:47:55-5:00,hasGeographicContext,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Geographic Context,This property refers to one or more related instances of the GeographicContext class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Event
ltc,2023-07-14T12:47:55-5:00,hasIdentifier,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Event
ltc,2023-07-14T12:47:55-5:00,hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Measurement Or Fact,This property refers to one or more related instances of the MeasurementOrFact class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Event
ltc,2023-07-14T12:47:55-5:00,hasParentEvent,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Parent Event,This property refers to one or more related parent instances of the Event class.,This term should only contain Events that can be considered to be a parent of the current instance.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Event
ltc,2023-07-14T12:47:55-5:00,hasPersonRole,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Person Role,This property refers to one or more related instances of the PersonRole class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Event
ltc,2023-07-14T12:47:55-5:00,hasReference,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Event
ltc,2023-07-14T12:47:55-5:00,hasTemporalCoverage,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Temporal Coverage,This property refers to one or more related instances of the TemporalCoverage class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Event
dwc,2023-07-14T12:47:55-5:00,samplingProtocol,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Sampling Protocol,"The names of, references to, or descriptions of the methods or protocols used during an Event.",,The primary use of this property is to describe the methods or protocols used to gather objects in the collection.,"`UV light trap`, `mist net`, `bottom trawl`, `ad hoc observation`, `Penguins from space: faecal stains reveal the location of emperor penguin colonies, https://doi.org/10.1111/j.1466-8238.2009.00467.x`, `Takats et al. 2001. Guidelines for Nocturnal Owl Monitoring in North America. Beaverhill Bird Observatory and Bird Studies Canada, Edmonton, Alberta. 32 pp., http://www.bsc-eoc.org/download/Owl.pdf`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Event
dwc,2023-07-14T12:47:55-5:00,verbatimEventDate,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Verbatim Event Date,The verbatim original representation of the date and time information for an Event.,,,"`spring 1910`, `Marzo 2002`, `1999-03-XX`, `17IV1934`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Event
ltc,2023-07-14T12:47:55-5:00,GeographicContext,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Geographic Context,"The geographic location from which objects associated with the ObjectGroup were collected, or where an Event took place.",,,,http://www.w3.org/2000/01/rdf-schema#Class,
dwc,2023-07-14T12:47:55-5:00,continent,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Continent,The name of the continent in which the Location occurs.,The name of the continent in which the GeographicContext is located.,Based on best practice Getty Thesaurus of Geographic Names. --> http://www.getty.edu/vow/TGNHierarchy?find=&place=&nation=&english=Y&subjectid=7029392. For cultural collections such as economic botany use the Region field to record things like Pacific to replace Oceania.,"`Africa`, `Antarctica`, `Asia`, `Europe`, `North America`, `Oceania`, `South America`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeographicContext
dwc,2023-07-14T12:47:55-5:00,country,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Country,The name of the country or major administrative unit in which the Location occurs.,The name of the country or major administrative unit in which the GeographicContext is located.,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names,"`Angola`, `Denmark`, `Colombia`, `Españax`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeographicContext
dwc,2023-07-14T12:47:55-5:00,countryCode,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Country Code,The standard code for the country in which the Location occurs.,The standard code for the country in which the GeographicContext is located.,Recommended best practice is to use an ISO 3166-1-alpha-2 country code.,"`AR`, `SV`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeographicContext
dwc,2023-07-14T12:47:55-5:00,county,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Second Order Division,"The full, unabbreviated name of the next smaller administrative region than stateProvince (county, shire, department, etc.) in which the Location occurs.","""The full, unabbreviated name of the next smaller administrative region than stateProvince (county, shire, department, etc.) in which the GeographicContext is located.""",Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names and to leave this field blank if the Location spans multiple entities at this administrative level or is uncertain.,"`Missoula`, `Los Lagos`, `Mataró`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeographicContext
ltc,2023-07-14T12:47:55-5:00,hasIdentifier,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeographicContext
ltc,2023-07-14T12:47:55-5:00,hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Measurement Or Fact,This property refers to one or more related instances of the MeasurementOrFact class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeographicContext
ltc,2023-07-14T12:47:55-5:00,hasReference,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeographicContext
dwc,2023-07-14T12:47:55-5:00,island,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Island,The name of the island on or near which the Location occurs.,The name of the island on or near which the GeographicContext is located.,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"`Nosy Be`, `Bikini Atoll`, `Vancouver`, `Viti Levu`, `Zanzibar`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeographicContext
dwc,2023-07-14T12:47:55-5:00,islandGroup,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Island Group,The name of the island group in which the Location occurs.,The name of the island group in which the location occurs.,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"`Alexander Archipelago`, `Archipiélago Diego Ramírez`, `Seychelles`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeographicContext
